Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,ERROR
Stephen Curry,GSW,27,80,67,13,32.7,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2,0.2,2,23,0,23.8,11.5
Kevin Martin,MIN,32,39,11,28,33.4,6.8,16,42.7,1.9,4.9,39.3,4.4,4.9,88.1,0.5,3.2,3.6,2.3,1.9,0.8,0,1.9,0,0,20,-6.5
Isaiah Thomas,BOS,26,67,40,27,25.8,5,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,0.5,1.8,2.3,4.2,2.1,0.9,0.1,2.2,0,0,16.4,2.6
James Harden,HOU,25,81,56,25,36.8,8,18.1,44,2.6,6.9,37.5,8.8,10.2,86.8,0.9,4.7,5.7,7,4,1.9,0.7,2.6,21,4,27.4,4.1
Damian Lillard,POR,24,82,51,31,35.7,7.2,16.6,43.4,2.4,7,34.3,4.2,4.9,86.4,0.6,4,4.6,6.2,2.7,1.2,0.3,2,6,0,21,3.7
Kyrie Irving,CLE,23,75,52,23,36.4,7.7,16.5,46.8,2.1,5,41.5,4.2,4.9,86.3,0.7,2.4,3.2,5.2,2.5,1.5,0.3,1.9,6,0,21.7,5.6
Jeff Teague,ATL,27,73,53,20,30.5,5.6,12.2,46,1,2.8,34.3,3.8,4.4,86.2,0.4,2.1,2.5,7,2.8,1.7,0.4,1.9,10,0,15.9,5.3
Lou Williams,TOR,28,80,48,32,25.2,4.7,11.6,40.4,1.9,5.6,34,4.3,4.9,86.1,0.3,1.6,1.9,2.1,1.3,1.1,0.1,1.3,0,0,15.5,3.7
Rudy Gay,SAC,28,68,25,43,35.4,7.5,16.4,45.5,1.2,3.2,35.9,5,5.8,85.8,1.4,4.4,5.9,3.7,2.7,1,0.6,2.3,2,0,21.1,-1.5
Kevin Durant,OKC,26,27,18,9,33.8,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6,6.6,4.1,2.7,0.9,0.9,1.5,5,0,25.4,6.2
LaMarcus Aldridge,POR,29,71,48,23,35.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1,1.8,39,0,23.4,4.8
Nikola Pekovic,MIN,29,31,9,22,26.3,4.5,10.6,42.4,0,0,0,3.5,4.2,83.7,2.9,4.7,7.5,0.9,1.4,0.6,0.4,1.9,11,0,12.5,-1.9
Russell Westbrook,OKC,26,67,40,27,34.4,9.4,22,42.6,1.3,4.3,29.9,8.1,9.8,83.5,1.9,5.4,7.3,8.6,4.4,2.1,0.2,2.7,31,11,28.1,3.7
Jimmy Butler,CHI,25,65,40,25,38.7,6.5,14,46.2,1.1,3,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,4,0,20,3.7
DeMar DeRozan,TOR,25,60,37,23,35,6.8,16.5,41.3,0.4,1.5,28.4,6,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2,4,0,20.1,2.2
Kemba Walker,CHA,25,62,21,41,34.2,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3,3.5,5.1,1.6,1.4,0.5,1.5,4,0,17.3,-3
Alec Burks,UTA,23,27,9,18,33.3,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,2,0,13.9,-4.8
Victor Oladipo,ORL,23,72,22,50,35.7,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,3,0,17.9,-4.2
Kobe Bryant,LAL,36,35,10,25,34.5,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,4,2,22.3,-8.4
Gordon Hayward,UTA,25,76,35,41,34.4,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,0.7,4.2,4.9,4.1,2.7,1.4,0.4,1.7,2,0,19.3,1.4
Kyle Lowry,TOR,29,70,43,27,34.5,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3,13,2,17.8,2.9
Anthony Davis,NOP,22,68,39,29,36.1,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,42,0,24.4,3.9
Kevin Love,CLE,26,75,50,25,33.8,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,1.9,7.9,9.7,2.2,1.6,0.7,0.5,1.9,38,0,16.4,5.3
Pau Gasol,CHI,34,78,48,30,34.4,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,2.8,9,11.8,2.7,2,0.3,1.9,1.9,54,0,18.5,2.4
Eric Bledsoe,PHX,25,81,39,42,34.6,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80,0.9,4.3,5.2,6.1,3.4,1.6,0.6,2.3,13,2,17,0.5
Carmelo Anthony,NYK,31,40,10,30,35.7,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1,0.4,2.2,5,0,24.2,-2.7
Marc Gasol,MEM,30,81,55,26,33.2,6.5,13.2,49.4,0,0.2,17.6,4.3,5.4,79.5,1.4,6.4,7.8,3.8,2.2,0.9,1.6,2.6,20,0,17.4,2.8
Darren Collison,SAC,27,45,16,29,34.8,5.8,12.2,47.3,1.3,3.6,37.3,3.2,4.1,78.8,0.4,2.8,3.2,5.6,2.5,1.5,0.3,2.1,3,0,16.1,0.8
John Wall,WAS,24,79,45,34,35.9,6.6,14.8,44.5,0.8,2.7,30,3.6,4.6,78.5,0.5,4.2,4.6,10,3.8,1.7,0.6,2.3,40,0,17.6,3.5
DeMarcus Cousins,SAC,24,59,23,36,34.1,8.4,18.1,46.7,0,0.1,25,7.2,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,47,2,24.1,1.1
Chris Bosh,MIA,31,44,19,25,35.4,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,1,6,7,2.2,2.2,0.9,0.6,1.6,7,0,21.1,-2.3
Dwyane Wade,MIA,33,62,28,34,31.8,8.2,17.5,47,0.5,1.6,28.4,4.6,6,76.8,0.9,2.6,3.5,4.8,3.4,1.2,0.3,1.7,3,0,21.5,-0.9
Zach Randolph,MEM,33,71,51,20,32.4,6.4,13.1,48.7,0.1,0.3,35,3.2,4.2,76.5,3.2,7.4,10.5,2.2,2.2,1,0.2,2.5,38,0,16.1,4.8
Andrew Wiggins,MIN,20,82,16,66,36.2,6.1,13.9,43.7,0.5,1.5,31,4.3,5.7,76,1.6,2.9,4.6,2.1,2.2,1,0.6,2.3,2,0,16.9,-6.7
Paul Millsap,ATL,30,73,55,18,32.7,6.1,12.7,47.6,1.1,3,35.6,3.5,4.6,75.7,1.9,5.9,7.8,3.1,2.3,1.8,0.9,2.8,15,0,16.7,5.6
Jabari Brown,LAL,22,19,4,15,29.9,3.7,8.9,41.2,1.2,3.3,37.1,3.4,4.5,75.3,0.2,1.7,1.9,2.1,1.7,0.6,0.1,1.7,0,0,11.9,-6.7
Greg Monroe,DET,25,69,25,44,31,6.1,12.4,49.6,0,0,0,3.7,4.9,75,3.3,6.9,10.2,2.1,2.2,1.1,0.5,2.1,35,0,15.9,-0.4
Giannis Antetokounmpo,MIL,20,81,41,40,31.4,4.7,9.6,49.1,0.1,0.5,15.9,3.2,4.3,74.1,1.2,5.5,6.7,2.6,2.1,0.9,1,3.1,10,0,12.7,0.1
Ty Lawson,DEN,27,75,29,46,35.5,5.4,12.3,43.6,0.9,2.7,34.1,3.5,4.8,73,0.6,2.6,3.1,9.6,2.5,1.2,0.1,1.7,28,0,15.2,-0.4
